x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
22,-405,0,stalk,,,,
41.9509848709851,-95.7025053827947,0,source,,,,
141.950984870985,-195.702505382795,0,inhib,,,,
41.950984870985,-195.702505382795,0,inhib,,,,
-41.950984870985,-195.702505382795,0,inhib,,,,
-121.950984870985,-195.702505382795,0,inhib,,,,
-111.950984870985,-195.702505382795,0,inhib,,,,
-101.950984870985,-195.702505382795,0,inhib,,,,
-50.950984870985,-195.702505382795,0,inhib,,,,
121.950984870985,-195.702505382795,0,inhib,,,,
0,-195.702505382795,0,bridge,,,,
0,-150.702505382795,0,bridge,,,,
0,-300.702505382795,0,bridge,,,,
-41.950984870985,-150.702505382795,0,bridge,,,,
41.950984870985,-300.702505382795,0,bridge,,,,
