x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-75.8336973608204,-265.773399948704,0,inhib,,,,
-45.1733740472788,-173.504825290274,0,inhib,,,,
27.567167793914,-307.017827298831,0,inhib,,,,
-29.9528588570674,-307.754835667023,0,inhib,,,,
32.9172244557542,-177.923843522432,0,inhib,,,,
-56.4350455883601,-202.383807556654,0,inhib,,,,
39.3622876013609,-171.948218820466,0,inhib,,,,
-7.50751293808351,-258.218429737835,0,inhib,,,,
32.8988707345122,-208.151848239232,0,inhib,,,,
-10.948226153648,-253.273431865458,0,inhib,,,,
23.7115275479247,-216.724028276477,0,inhib,,,,
-13.2735259780363,-270.082466304305,0,inhib,,,,
92.2309108916878,-269.187545412155,0,inhib,,,,
88.9762395559277,-224.876210310137,0,inhib,,,,
40.0475443833553,-254.569042051744,0,inhib,,,,
-9.0748235246687,-161.076695821146,0,inhib,,,,
-96.5297990391366,-241.705375894308,0,inhib,,,,
38.2880596177044,-200.631740283113,0,inhib,,,,
-67.3534914724538,-223.730516765188,0,inhib,,,,
82.5662583981559,-194.579344613854,0,inhib,,,,
-87.3030900103906,-279.319732533349,0,inhib,,,,
-9.75674178812442,-163.655223825137,0,inhib,,,,
-5.83931067032115,-225.542663623375,0,inhib,,,,
52.5600562079847,-300.421039873332,0,inhib,,,,
86.3317534804494,-287.750867650898,0,inhib,,,,
48.6892314036972,-248.42415214809,0,inhib,,,,
-32.5319655254255,-318.757755047941,0,inhib,,,,
-45.9380993221099,-240.44743804869,0,inhib,,,,
-91.4345979276371,-257.668809308331,0,inhib,,,,
91.9919718451863,-262.885012356334,0,inhib,,,,
64.0523050817024,-226.216112990723,0,inhib,,,,
45.2050281595569,-233.245760891798,0,inhib,,,,
-39.4989811368451,-239.461122784316,0,inhib,,,,
-48.4050189488339,-196.276988814417,0,inhib,,,,
50.0718282490226,-181.162234665989,0,inhib,,,,
-27.5916661569397,-298.177543017252,0,inhib,,,,
-23.4810393398611,-338.620858646424,0,inhib,,,,
63.7973876018502,-307.897999678008,0,inhib,,,,
68.8602865937955,-252.444602835781,0,inhib,,,,
50.822473416711,-285.407177764352,0,inhib,,,,
-20.2700071436281,-312.608636519261,0,inhib,,,,
-60.840625499563,-312.817917370071,0,inhib,,,,
58.0790690399124,-320.466763296253,0,inhib,,,,
55.8665547818923,-171.701579781298,0,inhib,,,,
-23.2551675717018,-162.683491279152,0,inhib,,,,
-11.2528836582457,-238.474151430907,0,inhib,,,,
-34.0781825929041,-332.2637294301,0,inhib,,,,
-54.9072535674611,-266.090069615686,0,inhib,,,,
49.4713400363183,-166.30093313686,0,inhib,,,,
83.065864625738,-305.062424998522,0,inhib,,,,
-1.25775673905024,-318.475083655825,0,inhib,,,,
77.5325637788992,-305.175736210052,0,inhib,,,,
66.9728335867971,-196.406223681194,0,inhib,,,,
-40.886116168405,-263.987004011178,0,inhib,,,,
0.220693708312548,-334.242873592174,0,inhib,,,,
39.8128533267573,-272.06093629843,0,inhib,,,,
2.44909552431986,-249.511124661797,0,inhib,,,,
-28.1523310722231,-300.167696263053,0,inhib,,,,
31.5322481137685,-340.809800666532,0,inhib,,,,
-38.6930664742119,-229.194400050348,0,inhib,,,,
60.2443762075981,-191.149766304604,0,inhib,,,,
41.4629836122152,-228.685329073874,0,inhib,,,,
-75.0677707534039,-199.81317341076,0,inhib,,,,
28.1437616053867,-251.091581975481,0,inhib,,,,
-79.1541937595122,-292.880641116661,0,inhib,,,,
32.3331030546105,-298.030338873409,0,inhib,,,,
-62.3393113695424,-301.485904682623,0,inhib,,,,
31.2454374416539,-268.4240192879,0,inhib,,,,
49.6372733032488,-255.401407018133,0,inhib,,,,
-76.4149987286888,-224.817472046122,0,inhib,,,,
39.2272621028736,-226.127306963909,0,inhib,,,,
-48.8453977952533,-297.945884413541,0,inhib,,,,
89.9648780972759,-259.505934319527,0,inhib,,,,
50.9836122096354,-254.719753120548,0,inhib,,,,
-97.5243868813685,-256.032455842141,0,inhib,,,,
-71.3822102238861,-227.137562963047,0,inhib,,,,
77.6787493109529,-245.716686176189,0,inhib,,,,
13.9996012573485,-271.488342968465,0,inhib,,,,
-67.4529333250213,-223.945312458838,0,inhib,,,,
56.2690009091161,-318.683873955657,0,inhib,,,,
-18.7766231218024,-176.630030856557,0,inhib,,,,
58.0424304708375,-329.302481763781,0,inhib,,,,
-41.5726279471666,-240.800755584898,0,inhib,,,,
-35.5690098153991,-240.091977628796,0,inhib,,,,
-25.9100396730413,-165.954480785615,0,inhib,,,,
-2.29848240435736,-261.629130243427,0,inhib,,,,
-73.7016673361296,-190.792571063942,0,inhib,,,,
62.4062174646664,-273.037065979421,0,inhib,,,,
-55.5323252007718,-275.116335728817,0,inhib,,,,
-87.8051955339559,-284.561926896389,0,inhib,,,,
60.1514703033455,-189.73410087533,0,inhib,,,,
-49.6987029116965,-309.674275336349,0,inhib,,,,
-5.35450267783353,-177.519464519073,0,inhib,,,,
9.46568566865275,-170.880465407016,0,inhib,,,,
92.7422164141801,-230.116117067622,0,inhib,,,,
-18.6297355898303,-233.557017793796,0,inhib,,,,
-69.88596667334,-293.170732822715,0,inhib,,,,
57.3413511991517,-227.342761470988,0,inhib,,,,
-13.6604191650614,-218.078405659494,0,inhib,,,,
-34.3135559208497,-334.137162768907,0,inhib,,,,
57.6137659805826,-128.714711979055,0,bridge,,,,
80.0095698208063,-311.177065542022,0,bridge,,,,
101.7525250026,-352.341164337562,0,bridge,,,,
52.1951348976813,-188.450331870654,0,bridge,,,,
-26.0805959083047,-359.521314613244,0,bridge,,,,
